Mes,Ventas,Ganancias,Stock,Precio,Descuento (%),Región,Categoría del Producto,Producto,Costos Operativos,Devoluciones,Unidades Vendidas
Noviembre,7408,3019,5786,853.123907356007,20.38,Zaragoza,Hogar,Refrigerador,26,29,106
Septiembre,6512,1232,7315,476.2969629036087,10.95,Logroño,Electrónica,Teléfono,17,22,71
Diciembre,3064,3774,2480,456.4865857604666,23.2,Logroño,Juguetes,Laptop,27,26,416
Mayo,8434,4400,5544,135.19838404430922,13.7,Zaragoza,Juguetes,Pelota,10,22,389
Enero,6075,4859,8967,21.357174084551964,20.28,Zaragoza,Electrónica,Microondas,29,23,112
Marzo,9152,2153,7515,159.28102017853467,16.64,Toledo,Juguetes,Teléfono,12,45,313
Agosto,2081,2893,9454,355.9021791819227,21.31,Córdoba,Electrónica,Tablet,18,31,292
Septiembre,3255,2887,4747,661.3234801870274,8.58,Valladolid,Hogar,Tablet,30,36,1
Julio,9551,371,4678,30.784236862008854,3.19,Zaragoza,Alimentos,Camiseta,14,23,309
Diciembre,1011,2348,1302,263.0232107253661,26.58,Zaragoza,Hogar,Teléfono,16,48,223
Septiembre,2648,4300,179,265.664809346447,24.15,Valencia,Electrónica,Muñeca,28,36,116
Junio,9102,3515,3644,645.4093513602271,22.64,Valencia,Juguetes,Pelota,18,44,313
Junio,849,1887,7559,682.9733631372848,23.1,Málaga,Ropa,Microondas,19,26,213
Agosto,6832,1112,4585,743.1294632147756,6.63,Santander,Ropa,Teléfono,11,7,500
Mayo,7573,594,6421,516.8473885282241,16.74,Oviedo,Hogar,Teléfono,29,22,450
Febrero,6583,4762,4147,631.7051917631499,9.87,Murcia,Alimentos,Camiseta,26,3,71
Noviembre,2854,2502,8551,735.3053116727065,29.54,Oviedo,Ropa,Laptop,26,18,427
Octubre,8311,4202,8970,870.2222153029982,7.1,Murcia,Alimentos,Teléfono,28,1,78
Mayo,9735,1185,2018,976.4948336816148,22.64,Granada,Alimentos,Microondas,13,37,372
Junio,3314,1056,6621,403.5815413825378,19.78,Sevilla,Alimentos,Teléfono,27,35,234
Septiembre,9559,161,724,954.8955963467288,24.74,Granada,Hogar,Laptop,12,15,24
Octubre,229,1019,5381,395.2031208093706,26.27,Zaragoza,Hogar,Refrigerador,20,32,426
Enero,9573,324,686,681.5771482343515,22.39,Sevilla,Ropa,Laptop,14,47,258
Enero,2974,4585,1327,85.37560878086452,17.7,Madrid,Electrónica,Camiseta,15,12,335
Febrero,6207,858,5344,469.6252308814553,13.36,Oviedo,Ropa,Pelota,13,38,403
Diciembre,7668,4486,9669,204.27240580737012,0.48,Santander,Ropa,Camiseta,19,32,221
Febrero,9748,2834,5566,440.42739785243606,6.35,Málaga,Electrónica,Muñeca,13,25,289
Mayo,3671,2520,2533,332.3564212382202,29.14,Málaga,Ropa,Zapatillas,20,24,373
Abril,9814,2206,4434,581.5976970188935,15.55,Valencia,Juguetes,Pelota,12,43,10
Diciembre,1878,457,9245,79.99020670744574,6.42,Granada,Ropa,Laptop,29,34,204
Septiembre,8370,2809,7485,63.21355731615044,13.84,Málaga,Alimentos,Muñeca,21,19,145
Octubre,5127,2692,7384,938.1780074735865,16.8,Toledo,Hogar,Tablet,26,4,298
Mayo,4174,1170,3958,997.8937340134119,5.95,Valladolid,Ropa,Laptop,22,5,57
Abril,1160,2032,5804,700.3282124070729,6.66,Palma,Hogar,Laptop,22,9,118
Febrero,7026,513,8163,953.1574584977516,24.16,Madrid,Alimentos,Pelota,23,37,226
Enero,8784,3280,7388,351.2226435983844,20.84,Logroño,Juguetes,Teléfono,16,18,481
Noviembre,7926,4503,4846,206.85121664324083,24.57,Córdoba,Ropa,Pelota,21,16,124
Diciembre,1097,340,1077,514.876539796649,0.58,Bilbao,Electrónica,Refrigerador,19,1,408
Agosto,7536,3675,4995,465.27684568301987,23.58,Santander,Alimentos,Libro,29,45,110
Diciembre,7457,2625,7701,623.3816933460496,21.31,Córdoba,Alimentos,Teléfono,24,16,431
Julio,2798,4753,3346,278.21467718071654,6.85,Valladolid,Juguetes,Tablet,14,19,95
Diciembre,3524,4989,398,395.10829991375283,5.78,Málaga,Electrónica,Refrigerador,29,24,446
Septiembre,7310,1720,3239,287.5982085407809,13.54,Bilbao,Electrónica,Teléfono,18,10,156
Octubre,4890,638,1801,532.4774653227147,22.62,Córdoba,Electrónica,Libro,24,6,244
Septiembre,6680,1173,2780,230.9872427687027,4.57,Granada,Electrónica,Zapatillas,16,45,468
Mayo,7054,670,1979,69.85873778445968,25.49,Murcia,Alimentos,Camiseta,12,28,66
Octubre,2659,2547,4977,846.3150399927006,4.22,Córdoba,Juguetes,Tablet,19,1,434
Febrero,3445,2684,7283,61.24643993654554,28.16,Murcia,Ropa,Libro,21,47,36
Agosto,2543,1214,4665,490.5111974984725,17.37,Granada,Juguetes,Teléfono,10,3,416
Junio,6522,763,3968,38.49451953753109,9.12,Zaragoza,Hogar,Tablet,10,8,105
Enero,4193,1491,6793,937.0791667800835,12.63,Bilbao,Hogar,Teléfono,14,7,284
Enero,9107,1649,639,180.90247888737446,19.19,Valladolid,Juguetes,Teléfono,29,4,24
Noviembre,6031,2760,9384,329.18069876090385,12.89,Barcelona,Hogar,Camiseta,26,31,105
Octubre,2313,2944,984,205.3758644192726,3.23,Barcelona,Alimentos,Refrigerador,15,26,472
Febrero,4601,2262,7917,991.1797887732403,21.72,Murcia,Juguetes,Libro,27,50,219
Enero,5107,4898,7093,841.1819383662105,4.74,Zaragoza,Hogar,Pelota,20,38,90
Febrero,4758,320,1254,219.1085852554453,5.36,Valladolid,Juguetes,Microondas,19,50,436
Noviembre,3616,587,9687,840.4628828315662,12.52,Barcelona,Electrónica,Camiseta,30,46,33
Noviembre,7490,2001,4871,388.5473612568671,25.61,Logroño,Electrónica,Camiseta,19,5,441
Diciembre,1231,909,4593,637.7066642293472,19.19,Granada,Juguetes,Teléfono,20,45,12
Abril,7430,3780,9036,993.1783017181955,5.84,Logroño,Alimentos,Zapatillas,27,41,204
Noviembre,5505,2003,7347,613.1034376355005,21.37,Valladolid,Alimentos,Camiseta,25,18,265
Junio,5959,210,4466,449.14409162452154,21.96,Logroño,Hogar,Tablet,11,2,463
Marzo,108,1801,4129,750.5611865500445,16.68,Palma,Ropa,Libro,21,50,488
Agosto,4046,2409,2163,852.4627714627976,13.21,Oviedo,Juguetes,Refrigerador,23,46,21
Mayo,2466,1996,3005,693.7251498189681,17.37,Oviedo,Electrónica,Libro,29,33,140
Septiembre,253,4902,1049,519.9039156447226,28.31,Zaragoza,Hogar,Refrigerador,30,44,446
Septiembre,1211,3019,7497,876.2291749156756,23.74,Málaga,Alimentos,Microondas,20,31,276
Marzo,1400,3931,6735,308.2681064443329,3.86,Santander,Alimentos,Laptop,27,47,346
Enero,4933,2707,8112,921.7145303212602,4.17,Palma,Hogar,Zapatillas,20,18,329
Agosto,9112,4369,2936,725.5715471529656,23.45,Málaga,Hogar,Refrigerador,21,24,89
Mayo,2569,1496,450,917.8486389601143,27.29,Córdoba,Juguetes,Tablet,22,42,362
Febrero,3524,1175,333,675.1307459695016,4.61,Toledo,Electrónica,Libro,12,15,468
Enero,6609,3117,6631,94.14684797497625,5.62,Córdoba,Hogar,Refrigerador,16,35,159
Abril,6078,4207,9160,815.16484685503,14.64,Murcia,Hogar,Laptop,30,26,216
Julio,6169,3375,6513,958.1249425632276,22.88,Bilbao,Ropa,Laptop,22,43,155
Noviembre,101,3594,4438,279.7960127465938,13.56,Valencia,Juguetes,Muñeca,16,16,310
Abril,706,2001,4151,454.392368410181,21.7,Málaga,Juguetes,Muñeca,24,7,267
Agosto,6880,3031,9566,488.7617060299513,29.38,Palma,Alimentos,Teléfono,10,36,227
Abril,4684,2603,9416,658.2769367058286,15.09,Barcelona,Juguetes,Refrigerador,13,30,491
Junio,1181,3404,1647,736.8320685900944,25.27,Toledo,Electrónica,Pelota,19,16,280
Enero,5525,486,8618,703.2786691078157,5.0,Granada,Alimentos,Microondas,23,11,116
Febrero,8131,3740,2655,678.3132397049843,2.95,Málaga,Juguetes,Libro,19,38,425
Diciembre,3032,3101,1976,918.6585126755299,26.37,Bilbao,Electrónica,Zapatillas,29,5,490
Febrero,3223,389,7070,1.6067974777790934,26.41,Barcelona,Ropa,Teléfono,21,50,80
Mayo,8601,577,9104,8.096857948343278,20.64,Murcia,Juguetes,Laptop,17,21,495
Febrero,8837,1560,4960,961.3480886500816,14.79,Barcelona,Hogar,Microondas,10,21,257
Enero,5411,544,502,881.0847446371159,16.01,Palma,Ropa,Libro,30,34,94
Diciembre,6552,541,9319,773.5952323964586,2.23,Santander,Hogar,Teléfono,29,49,385
Julio,7192,3729,7934,103.75890895841191,20.4,Santander,Hogar,Muñeca,11,10,82
Agosto,9600,760,6242,266.5740520876896,7.44,Logroño,Hogar,Pelota,23,45,59
Junio,4443,2864,3707,867.0943752402852,12.84,Santander,Hogar,Pelota,30,36,50
Julio,5101,477,3672,554.1852829846222,18.79,Barcelona,Juguetes,Teléfono,16,23,216
Febrero,9305,2080,2237,395.98331508493277,18.15,Toledo,Juguetes,Laptop,15,44,258
Enero,3272,4774,2573,802.2853393827402,15.01,Santander,Electrónica,Pelota,22,16,89
Enero,9397,464,598,209.04736682199675,11.48,Bilbao,Juguetes,Libro,10,44,144
Febrero,4496,4760,1444,835.2747144448415,9.07,Bilbao,Ropa,Refrigerador,28,10,65
Enero,2563,3877,4354,450.3248329082577,8.98,Córdoba,Hogar,Teléfono,21,9,359
Junio,5943,2687,1321,350.54219269699024,22.54,Madrid,Hogar,Refrigerador,14,47,359
Septiembre,6487,3979,9617,453.6994799456563,13.03,Madrid,Hogar,Laptop,29,2,185
Agosto,8876,2547,9012,574.0020127315989,7.24,Toledo,Hogar,Pelota,26,24,335
Enero,7979,2342,4722,826.8537715169265,20.29,Valladolid,Hogar,Zapatillas,10,37,205
Mayo,9092,2178,3789,402.40993901606026,14.56,Málaga,Alimentos,Teléfono,25,8,490
Junio,5931,3640,2285,460.62286949617413,2.06,Valencia,Electrónica,Refrigerador,30,27,10
Abril,6899,1376,4437,930.8449304998164,27.93,Bilbao,Hogar,Camiseta,29,25,74
Diciembre,8545,2713,2449,851.8446884015259,19.59,Valencia,Alimentos,Camiseta,18,30,100
Marzo,4259,1663,2317,527.6021394133776,2.48,Oviedo,Alimentos,Tablet,27,43,467
Septiembre,2481,3375,3011,290.31056101642565,13.01,Bilbao,Hogar,Muñeca,30,42,67
Julio,9706,4777,5375,617.5662273126871,20.76,Toledo,Alimentos,Libro,19,29,268
Marzo,8262,2365,3075,558.7994043870725,16.19,Murcia,Alimentos,Laptop,14,10,368
Agosto,5861,855,5378,537.7470320691482,3.99,Granada,Electrónica,Teléfono,27,5,133
Diciembre,2098,2675,9043,264.24856559010095,10.89,Granada,Electrónica,Teléfono,15,25,418
Junio,7862,2876,7723,943.0381334294281,22.8,Bilbao,Hogar,Camiseta,21,47,265
Octubre,9681,197,805,148.1012938747435,17.36,Madrid,Hogar,Muñeca,12,47,29
Diciembre,6234,1920,6075,657.4576911961943,21.2,Valencia,Juguetes,Laptop,12,41,106
Abril,9589,642,6792,884.4617482889366,6.56,Toledo,Alimentos,Camiseta,13,33,222
Noviembre,2330,919,7281,117.01747475267278,26.77,Madrid,Electrónica,Tablet,10,26,77
Agosto,9086,4235,5468,626.2536361951104,16.86,Zaragoza,Electrónica,Libro,12,46,296
Abril,404,3978,5341,840.7178954325778,11.56,Valladolid,Hogar,Libro,28,28,475
Julio,875,2839,7198,482.2513083436513,5.77,Sevilla,Hogar,Laptop,11,8,458
Enero,2148,2860,7885,880.4295861974533,13.23,Logroño,Ropa,Teléfono,25,26,263
Julio,9344,4456,6963,817.3659181645012,12.27,Málaga,Ropa,Zapatillas,22,26,9
Noviembre,1203,576,1765,405.03436409173077,2.75,Logroño,Alimentos,Pelota,22,24,486
Junio,8293,968,3122,106.05185094650602,25.97,Sevilla,Ropa,Laptop,10,24,89
Mayo,4220,377,3791,615.6713839122924,1.46,Granada,Ropa,Zapatillas,30,33,427
Agosto,9011,3027,8011,226.12260285014898,20.34,Barcelona,Hogar,Camiseta,23,42,403
Junio,8604,2887,986,242.36296356879217,7.03,Sevilla,Hogar,Microondas,17,16,203
Marzo,4110,309,1877,443.67852074416794,23.87,Madrid,Electrónica,Libro,11,46,202
Marzo,2942,4159,5505,710.6423731925953,22.37,Córdoba,Alimentos,Laptop,13,7,344
Octubre,4240,3880,8847,968.8401704508121,18.77,Palma,Hogar,Tablet,28,3,279
Agosto,5269,1200,7269,173.83719785023885,7.85,Valladolid,Electrónica,Refrigerador,10,35,186
Febrero,6091,3678,3214,106.43414178429222,29.83,Santander,Electrónica,Libro,24,48,186
Marzo,3636,4459,9538,448.84389936181816,6.74,Zaragoza,Ropa,Tablet,28,15,78
Octubre,6903,2722,7915,702.7206968777024,19.78,Logroño,Electrónica,Pelota,21,6,115
Noviembre,9154,3650,800,508.1058298085306,10.26,Córdoba,Alimentos,Microondas,24,4,486
Diciembre,3069,888,7350,952.5498375222145,12.22,Oviedo,Alimentos,Zapatillas,17,43,50
Diciembre,4260,785,506,548.3134091957625,28.06,Madrid,Electrónica,Teléfono,20,15,247
Octubre,6234,1201,8471,588.2254344135124,0.66,Oviedo,Ropa,Laptop,22,17,434
Marzo,2596,848,4079,547.612762361518,9.59,Málaga,Alimentos,Camiseta,16,47,472
Noviembre,3804,4334,9560,229.9607111687385,27.92,Zaragoza,Hogar,Muñeca,23,27,500
Septiembre,9311,2654,4079,545.2947935422301,4.53,Murcia,Alimentos,Libro,20,47,91
Junio,6520,522,1342,335.122141929546,15.37,Granada,Juguetes,Refrigerador,27,20,105
Diciembre,7748,2360,488,336.96782633465097,10.45,Barcelona,Hogar,Tablet,12,5,430
Enero,2393,3592,4509,704.4698040754946,9.46,Madrid,Hogar,Teléfono,27,30,467
Noviembre,1225,109,7471,188.37362336467433,8.29,Bilbao,Juguetes,Libro,14,13,95
Octubre,7541,2930,6904,442.75879035298135,25.17,Oviedo,Alimentos,Microondas,28,22,181
Diciembre,3197,1490,1219,424.0566865139401,1.12,Bilbao,Electrónica,Teléfono,11,1,332
Septiembre,6807,1672,8592,839.7731347302632,26.09,Valladolid,Juguetes,Tablet,18,2,110
Marzo,8273,2036,3684,109.31352470091599,26.21,Córdoba,Juguetes,Camiseta,30,15,269
Diciembre,5852,4428,3154,609.0671018168141,27.44,Córdoba,Electrónica,Refrigerador,12,28,72
Febrero,513,2299,8780,779.8564853814385,22.57,Bilbao,Alimentos,Camiseta,30,41,138
Junio,3475,4197,9420,441.1359320487446,21.23,Madrid,Juguetes,Tablet,17,33,413
Octubre,9217,4065,715,259.0468155272663,13.11,Toledo,Ropa,Camiseta,12,18,187
Abril,1812,1892,2038,128.69211657226964,21.82,Valencia,Alimentos,Microondas,21,21,432
Septiembre,1797,473,9295,671.4367874386886,6.07,Bilbao,Ropa,Libro,10,5,404
Julio,3402,4912,699,594.7760000025836,6.96,Córdoba,Hogar,Teléfono,10,42,155
Octubre,472,3788,4051,17.605423769222195,24.4,Santander,Hogar,Camiseta,28,15,357
Junio,717,2485,2247,813.7560337146543,0.71,Logroño,Juguetes,Microondas,12,36,426
Mayo,7539,2646,668,578.1304827475896,24.57,Barcelona,Hogar,Pelota,20,2,124
Octubre,6154,1520,996,996.2794994999382,17.96,Barcelona,Electrónica,Libro,16,24,178
Noviembre,5933,811,9267,101.68155744124577,19.6,Toledo,Ropa,Laptop,14,50,87
Febrero,8570,1174,2766,129.65078593216123,11.4,Murcia,Ropa,Refrigerador,30,32,466
Octubre,5584,2028,2684,701.7461854883474,4.39,Barcelona,Ropa,Refrigerador,21,40,338
Noviembre,9803,4650,4608,539.1763849500206,7.08,Oviedo,Ropa,Microondas,15,9,253
Julio,5549,1480,8687,505.98259806419446,26.63,Toledo,Juguetes,Camiseta,28,30,33
Febrero,4291,2301,2180,617.937548463219,27.48,Zaragoza,Hogar,Zapatillas,17,27,252
Septiembre,9545,3463,3763,572.3660246976665,25.25,Valencia,Hogar,Libro,11,28,435
Agosto,7534,138,8934,135.18213123907745,14.39,Sevilla,Alimentos,Zapatillas,19,3,75
Julio,1532,3919,3895,537.312857281792,22.4,Logroño,Juguetes,Muñeca,14,18,484
Junio,8300,2649,3398,409.47491301373975,5.15,Santander,Hogar,Muñeca,26,37,245
Abril,3981,3013,6136,319.1015178474296,22.08,Oviedo,Juguetes,Teléfono,13,10,445
Abril,6823,984,3993,224.4752518859312,21.72,Barcelona,Alimentos,Muñeca,21,26,203
Enero,9726,1042,915,623.2372142385764,8.06,Oviedo,Electrónica,Microondas,13,32,483
Julio,5022,1282,4407,200.24324802018447,21.07,Toledo,Hogar,Camiseta,16,24,3
Abril,5088,1471,2061,495.0379500372459,11.95,Oviedo,Alimentos,Libro,15,15,121
Febrero,3249,1466,1354,721.1999141032513,5.11,Madrid,Alimentos,Pelota,28,9,471
Junio,4682,890,5448,509.05593210356915,18.08,Sevilla,Alimentos,Microondas,18,37,382
Junio,7226,3072,560,879.3962706761932,1.09,Oviedo,Alimentos,Zapatillas,28,12,466
Marzo,1597,1713,9212,52.016536564217574,1.76,Valencia,Hogar,Refrigerador,11,4,152
Marzo,2722,1795,7133,503.48339715952017,11.3,Madrid,Juguetes,Camiseta,24,50,78
Julio,9694,724,7152,191.11896621728908,16.23,Oviedo,Electrónica,Pelota,27,9,433
Agosto,5107,585,2929,810.3676186890831,18.73,Valencia,Juguetes,Laptop,14,44,304
Mayo,6844,1368,5143,776.034005188093,19.55,Córdoba,Electrónica,Pelota,27,20,144
Diciembre,9596,3715,7440,458.0953590936251,7.47,Málaga,Electrónica,Microondas,30,39,259
Agosto,4861,1456,8966,489.54059568520535,1.93,Bilbao,Ropa,Libro,21,18,317
Febrero,8497,2024,2080,952.2340892387589,19.52,Granada,Hogar,Tablet,17,32,288
Septiembre,5188,804,7830,696.6436043696198,0.71,Córdoba,Ropa,Pelota,13,0,180
Enero,407,4030,6621,390.4888651334842,27.42,Valladolid,Hogar,Microondas,19,33,85
Febrero,6665,1111,3586,240.17665772511515,17.13,Zaragoza,Alimentos,Refrigerador,20,9,328
Mayo,3386,1095,8969,601.7705195364176,10.36,Logroño,Alimentos,Muñeca,18,25,124
Enero,2608,1900,257,716.0776224530829,19.99,Bilbao,Electrónica,Zapatillas,29,37,157
Abril,5220,1613,2032,173.87823822826513,21.45,Toledo,Electrónica,Pelota,17,40,378
Abril,9040,4753,5869,509.341197617436,20.03,Logroño,Alimentos,Libro,13,36,312
Octubre,8820,2674,3157,189.2371893566249,19.08,Oviedo,Ropa,Teléfono,18,19,322
Marzo,3325,4822,5731,295.1691474619614,25.33,Murcia,Juguetes,Tablet,21,39,57
Junio,541,3499,6063,12.432266980640433,1.1,Granada,Electrónica,Laptop,14,23,114
Junio,1135,191,833,537.0418572467164,2.88,Valladolid,Alimentos,Refrigerador,11,5,368
Febrero,7033,2330,2923,527.6819984083489,18.7,Valencia,Electrónica,Muñeca,18,12,425
Julio,834,4715,277,335.64138705885404,9.61,Toledo,Electrónica,Refrigerador,23,5,256
Mayo,9486,180,6338,757.7972405088982,2.8,Toledo,Hogar,Pelota,17,38,483
Junio,7013,3200,3776,410.9791109820836,25.45,Murcia,Electrónica,Teléfono,15,50,423
Marzo,3960,2116,5068,771.2036001708101,8.23,Madrid,Hogar,Muñeca,12,19,276
Septiembre,5965,3964,1821,8.883286861605807,20.07,Oviedo,Alimentos,Muñeca,29,28,39
Noviembre,2173,2343,5216,709.7620866830027,12.53,Bilbao,Alimentos,Libro,13,8,438
